Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,UnderLimit
2016-02-02,137000,139750,135500,138500,1184,,,
2016-02-03,136250,141250,136000,141250,1634,,,
2016-02-04,142500,145000,138750,142500,2013,,,
2016-02-05,140000,144000,138250,139500,2047,,,
2016-02-08,138250,141250,137250,138250,1236,,,
2016-02-09,136750,139500,133000,133000,1388,,,
2016-02-10,134750,135500,126500,129500,1535,,,
2016-02-12,127500,131000,124875,128000,1832,,,
2016-02-15,131750,136250,131500,131500,1489,,,
2016-02-16,134000,139750,132000,137250,1979,,,
2016-02-17,140750,141500,134500,136250,1499,,,
2016-02-18,137500,137500,131000,132250,2242,,,
2016-02-19,132000,132500,129500,131250,2451,,,
2016-02-22,131500,134000,130500,131000,1426,,,
2016-02-23,131500,132750,131000,131750,1368,,,
2016-02-24,131000,134000,131000,132500,1381,,,
2016-02-25,131750,135250,131750,133250,2205,,,
2016-02-26,133750,137250,131750,132750,1726,,,
2016-02-29,133250,133750,130750,132500,2438,,,
2016-03-01,132000,134250,131500,133500,1454,,,
2016-03-02,134750,135500,133750,134250,1020,,,
2016-03-03,133500,134750,132000,132750,1653,,,
2016-03-04,131750,132250,130000,132250,1524,,,
2016-03-07,131750,132750,130000,131500,1375,,,
2016-03-08,130750,131500,130250,130250,1206,,,
2016-03-09,130250,130750,130000,130750,1046,,,
2016-03-10,130250,130500,128750,128750,992,,,
2016-03-11,128250,130500,128000,130250,1127,,,
2016-03-14,130250,130500,128250,128250,884,,,
2016-03-15,128250,128750,127750,127750,988,,,
2016-03-16,127750,129250,127500,128750,849,,,
2016-03-17,128500,129750,127750,128000,621,,,
2016-03-18,128000,128250,127500,128250,818,,,
2016-03-22,129000,129750,128000,129250,921,,,
2016-03-23,129250,131250,129000,130000,1120,,,
2016-03-24,128750,128750,127250,127250,1227,,,
2016-03-25,127250,128000,127250,127250,659,,,
2016-03-28,127250,127750,126750,127250,1153,,,
2016-03-29,127250,127750,127000,127500,760,,,
2016-03-30,127500,130250,126750,129000,1467,,,
2016-03-31,129000,130750,128500,130750,949,,,
2016-04-01,130500,130500,128250,129000,1340,,,
2016-04-04,129000,131750,128500,131750,1169,,,
2016-04-05,131750,132750,131000,132250,752,,,
2016-04-06,130250,131750,130250,130250,1554,,,
2016-04-07,131000,132000,129750,131500,732,,,
2016-04-08,130250,131000,129250,130000,1148,,,
2016-04-11,129250,131250,129250,130750,722,,,
2016-04-12,130250,131000,128750,129750,998,,,
2016-04-13,129750,130750,129250,129750,612,,,
2016-04-14,128750,129500,128250,129000,886,,,
2016-04-15,129000,129000,127500,127500,753,,,
2016-04-18,127500,127500,126250,126250,981,,,
2016-04-19,126500,126750,125000,125000,1131,,,
2016-04-20,125500,127000,125250,126500,1730,,,
2016-04-21,127250,133500,126750,132750,2600,,,
2016-04-22,132500,134750,130750,134500,2529,,,
2016-04-25,133750,138750,133250,138750,2537,,,
2016-04-26,137500,139000,136500,138250,1611,,,
2016-04-27,136250,137500,134250,137000,1215,,,
2016-04-28,137000,137000,133500,136250,1494,,,
2016-05-02,135000,137000,134500,136500,1184,,,
2016-05-06,136000,138500,135250,136750,902,,,
2016-05-09,136750,139750,136750,138250,609,,,
2016-05-10,137500,138750,135500,138750,1186,,,
2016-05-11,139500,139500,134250,134250,990,,,
2016-05-12,134000,136250,134000,135250,698,,,
2016-05-13,135250,136750,134500,136250,634,,,
2016-05-16,136250,138000,136250,138000,703,,,
2016-05-17,137750,139000,137500,138750,735,,,
2016-05-18,138000,140000,137500,140000,1225,,,
2016-05-19,139750,140250,138250,139250,1248,,,
2016-05-20,138750,141000,138750,141000,999,,,
2016-05-23,140750,141250,140000,140500,884,,,
2016-05-24,139750,141000,137000,140250,915,,,
2016-05-25,141000,142250,140500,142250,704,,,
2016-05-26,142250,142500,139750,142500,1044,,,
2016-05-27,142250,144250,141250,142500,1390,,,
2016-05-30,142500,143250,141500,142750,755,,,
2016-05-31,141750,143000,140500,143000,710,,,
2016-06-01,142500,143250,141500,142500,1093,,,
2016-06-02,141500,142500,139000,139000,849,,,
2016-06-03,139750,142000,139500,141750,1030,,,
2016-06-06,141500,142500,140250,142500,1077,,,
2016-06-07,142500,143750,141750,143000,1450,,,
2016-06-08,143250,144000,142000,142750,1346,,,
2016-06-09,142750,145250,142500,144500,1085,,,
2016-06-10,143500,144250,142500,142500,1107,,,
2016-06-13,141750,142750,140000,140500,751,,,
2016-06-14,140250,140750,138500,138500,706,,,
2016-06-15,137500,139250,136500,137750,1095,,,
2016-06-16,138250,138750,135500,136000,955,,,
2016-06-17,136500,137250,133000,133250,1585,,,
2016-06-20,134750,135500,133500,134750,1206,,,
2016-06-21,134500,137000,133500,136000,1042,,,
2016-06-22,135250,136750,134500,135000,781,,,
2016-06-23,136250,136250,132500,134000,985,,,
2016-06-24,136500,139500,129500,129500,1807,,,
2016-06-27,131000,136500,130000,134250,1873,,,
2016-06-28,131250,138500,131250,138000,1016,,,
2016-06-29,136250,142000,133750,140750,1222,,,
2016-06-30,140250,144250,139500,143250,1618,,,
2016-07-01,143000,143500,142000,143500,826,,,
2016-07-04,143000,143750,141500,142250,618,,,
